polar bear gene ID	BK_SAMN01057691	BK_SRR7813602	BB_SRR7758718	BB_SAMN02256313	BB_SAMN02256315	BB_SAMN02256316	BB_SAMN02256317	BB_SAMN02256318	BB_SAMN02256319	BB_SAMN02256320	BB_SAMN02256321	BB_SAMN02256322	PB_SAMN02261811	PB_SAMN02261819	PB_SAMN02261821	PB_SAMN02261826	PB_SAMN02261840	PB_SAMN02261845	PB_SAMN02261851	PB_SAMN02261853	PB_SAMN02261854	PB_SAMN02261856	PB_SAMN02261858	PB_SAMN02261865	PB_SAMN02261868	PB_SAMN02261870	PB_SAMN02261871	PB_SAMN02261878	PB_SAMN02261880
Uma_R019405	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2
Uma_R019406	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2
Uma_R019407	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1
Uma_R019408	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019409	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019410	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019411	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019412	3	2	2	2	2	2	3	3	2	2	4	4	2	2	3	2	3	2	1	2	1	2	2	2	2	3	2	2	2
Uma_R019413	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019415	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019416	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1
Uma_R019418	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
Uma_R019419	0	1	2	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	2	2
Uma_R019420	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019421	1	2	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019422	1	2	2	1	2	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	3	2	2	2	2	2	2	2	2
Uma_R019423	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019424	1	1	3	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	2
Uma_R019425	2	2	4	5	6	4	4	4	5	6	6	5	3	2	2	4	4	4	5	3	5	4	5	4	3	3	5	4	4
Uma_R019426	3	2	2	2	2	2	3	2	2	2	2	3	2	2	3	2	2	2	2	3	2	2	2	2	2	3	2	2	2
Uma_R019427	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
Uma_R019428	2	2	3	2	1	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1
Uma_R019429	1	2	2	1	2	2	2	1	2	2	2	1	2	1	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2
Uma_R019430	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019431	1	1	1	0	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
Uma_R019432	2	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
Uma_R019433	3	2	2	3	3	2	3	3	2	2	3	2	3	2	3	2	2	3	2	2	2	2	3	3	3	3	3	2	2
Uma_R019434	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019435	4	3	2	3	3	4	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	4	3	3
Uma_R019436	3	2	3	2	3	3	2	3	3	2	3	3	3	3	3	2	3	2	3	3	3	2	3	2	3	4	3	2	3
